date,IRL
2023-09-30,141.03
2023-06-30,140.59
2023-03-31,138.61
2022-12-31,137.26
2022-09-30,136.27
2022-06-30,135.84
2022-03-31,133.93
2021-12-31,132.62
2021-09-30,131.67
2021-06-30,131.12
2021-03-31,130.69
2020-12-31,130.52
2020-09-30,130.59
2020-06-30,130.57
2020-03-31,130.57
2019-12-31,130.26
2019-09-30,129.99
2019-06-30,129.72
2019-03-31,129.38
2018-12-31,129.03
2018-09-30,128.45
2018-06-30,127.77
2018-03-31,127.22
2017-12-31,126.82
2017-09-30,126.46
2017-06-30,126.19
2017-03-31,125.9
2016-12-31,125.5
2016-09-30,125.33
2016-06-30,125.25
2016-03-31,125.26
2015-12-31,125.28
2015-09-30,125.26
2015-06-30,125.25
2015-03-31,125.19
2014-12-31,125.29
2014-09-30,125.24
2014-06-30,125.15
2014-03-31,125.0
2013-12-31,124.83
2013-09-30,124.66
2013-06-30,124.44
2013-03-31,124.25
2012-12-31,123.97
2012-09-30,123.55
2012-06-30,122.96
2012-03-31,122.37
2011-12-31,121.68
2011-09-30,120.95
2011-06-30,120.31
2011-03-31,119.69
2010-12-31,119.17
2010-09-30,118.7
2010-06-30,118.26
2010-03-31,117.81
2009-12-31,117.47
2009-09-30,117.41
2009-06-30,117.59
2009-03-31,117.7
2008-12-31,117.54
2008-09-30,117.03
2008-06-30,116.07
2008-03-31,115.12
2007-12-31,114.3
2007-09-30,113.68
2007-06-30,113.37
2007-03-31,113.07
2006-12-31,112.77
2006-09-30,112.43
2006-06-30,111.98
2006-03-31,111.47
2005-12-31,111.01
2005-09-30,110.57
2005-06-30,110.08
2005-03-31,109.64
2004-12-31,109.2
2004-09-30,108.72
2004-06-30,108.28
2004-03-31,107.8
2003-12-31,107.49
2003-09-30,107.06
2003-06-30,106.61
2003-03-31,106.17
2002-12-31,105.61
