date,taux
2023-10-31,3.87
2023-09-30,3.73
2023-08-31,3.62
2023-07-31,3.43
2023-06-30,3.25
2023-05-31,3.08
2023-04-30,2.92
2023-03-31,2.72
2023-02-28,2.51
2023-01-31,2.31
2022-12-31,2.12
2022-11-30,1.96
2022-10-31,1.81
2022-09-30,1.7
2022-08-31,1.59
2022-07-31,1.45
2022-06-30,1.34
2022-05-31,1.25
2022-04-30,1.16
2022-03-31,1.11
2022-02-28,1.09
2022-01-31,1.07
2021-12-31,1.06
2021-11-30,1.07
2021-10-31,1.08
2021-09-30,1.09
2021-08-31,1.09
2021-07-31,1.08
2021-06-30,1.09
2021-05-31,1.1
2021-04-30,1.11
2021-03-31,1.14
2021-02-28,1.18
2021-01-31,1.2
2020-12-31,1.21
2020-11-30,1.24
2020-10-31,1.26
2020-09-30,1.28
2020-08-31,1.29
2020-07-31,1.27
2020-06-30,1.22
2020-05-31,1.17
2020-04-30,1.16
2020-03-31,1.17
2020-02-29,1.17
2020-01-31,1.15
2019-12-31,1.14
2019-11-30,1.16
2019-10-31,1.19
2019-09-30,1.24
2019-08-31,1.27
2019-07-31,1.31
2019-06-30,1.36
2019-05-31,1.41
2019-04-30,1.46
2019-03-31,1.48
2019-02-28,1.49
2019-01-31,1.48
2018-12-31,1.46
2018-11-30,1.47
2018-10-31,1.48
2018-09-30,1.49
2018-08-31,1.49
2018-07-31,1.5
2018-06-30,1.51
2018-05-31,1.52
2018-04-30,1.53
2018-03-31,1.53
2018-02-28,1.56
2018-01-31,1.58
2017-12-31,1.57
2017-11-30,1.6
2017-10-31,1.62
2017-09-30,1.61
2017-08-31,1.62
2017-07-31,1.59
2017-06-30,1.58
2017-05-31,1.56
2017-04-30,1.52
2017-03-31,1.48
2017-02-28,1.44
2017-01-31,1.38
2016-12-31,1.38
2016-11-30,1.43
2016-10-31,1.48
2016-09-30,1.58
2016-08-31,1.62
2016-07-31,1.67
2016-06-30,1.75
2016-05-31,1.88
2016-04-30,2.02
2016-03-31,2.12
2016-02-29,2.2
2016-01-31,2.27
2015-12-31,2.27
2015-11-30,2.29
2015-10-31,2.23
2015-09-30,2.17
2015-08-31,2.1
2015-07-31,2.08
2015-06-30,2.13
2015-05-31,2.18
2015-04-30,2.24
2015-03-31,2.34
2015-02-28,2.42
2015-01-31,2.49
2014-12-31,2.55
